Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Algorithm Design Manual","","","","","10.1007/978-1-84800-070-4","Steven S. Skiena","2008","http://link.springer.com/book/10.1007/978-1-84800-070-4","Book"
"Neural Networks and Deep Learning","","","","","10.1007/978-3-319-94463-0","Dr. Charu C. Aggarwal","2018","http://link.springer.com/book/10.1007/978-3-319-94463-0","Book"
"Recommender Systems","","","","","10.1007/978-3-319-29659-3","Charu C. Aggarwal","2016","http://link.springer.com/book/10.1007/978-3-319-29659-3","Book"
"Fundamentals of Business Process Management","","","","","10.1007/978-3-642-33143-5","Marlon DumasMarcello La RosaJan MendlingHajo A. Reijers","2013","http://link.springer.com/book/10.1007/978-3-642-33143-5","Book"
"Introductory Computer Forensics","","","","","10.1007/978-3-030-00581-8","Xiaodong Lin","2018","http://link.springer.com/book/10.1007/978-3-030-00581-8","Book"
"An Introduction to Machine Learning","","","","","10.1007/978-3-319-63913-0","Miroslav Kubat","2017","http://link.springer.com/book/10.1007/978-3-319-63913-0","Book"
"Data Structures and Algorithms with Python","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-13072-9","Kent D. LeeSteve Hubbard","2015","http://link.springer.com/book/10.1007/978-3-319-13072-9","Book"
"Probability and Statistics for Computer Science","","","","","10.1007/978-3-319-64410-3","David Forsyth","2018","http://link.springer.com/book/10.1007/978-3-319-64410-3","Book"
"Foundations for Designing User-Centered Systems","","","","","10.1007/978-1-4471-5134-0","Frank E. RitterGordon D. BaxterElizabeth F. Churchill","2014","http://link.springer.com/book/10.1007/978-1-4471-5134-0","Book"
"Data Mining","","","","","10.1007/978-3-319-14142-8","Charu C. Aggarwal","2015","http://link.springer.com/book/10.1007/978-3-319-14142-8","Book"
"Concise Guide to Databases","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-5601-7","Peter LakePaul Crowther","2013","http://link.springer.com/book/10.1007/978-1-4471-5601-7","Book"
"Understanding Cryptography","","","","","10.1007/978-3-642-04101-3","Christof PaarJan Pelzl","2010","http://link.springer.com/book/10.1007/978-3-642-04101-3","Book"
"Logical Foundations of Cyber-Physical Systems","","","","","10.1007/978-3-319-63588-0","Prof. André Platzer","2018","http://link.springer.com/book/10.1007/978-3-319-63588-0","Book"
"Systems Programming in Unix/Linux","","","","","10.1007/978-3-319-92429-8","K.C. Wang","2018","http://link.springer.com/book/10.1007/978-3-319-92429-8","Book"
"Data Science and Predictive Analytics","","","","","10.1007/978-3-319-72347-1","Ivo D. Dinov","2018","http://link.springer.com/book/10.1007/978-3-319-72347-1","Book"
"Eye Tracking Methodology","","","","","10.1007/978-3-319-57883-5","Andrew T. Duchowski","2017","http://link.springer.com/book/10.1007/978-3-319-57883-5","Book"
"Principles of Data Mining","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-7307-6","Max Bramer","2016","http://link.springer.com/book/10.1007/978-1-4471-7307-6","Book"
