Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Probability","","","","","10.1007/978-1-4612-4374-8","Jim Pitman","1993","http://link.springer.com/book/10.1007/978-1-4612-4374-8","Book"
"Understanding Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4939-2712-8","Stephen Abbott","2015","http://link.springer.com/book/10.1007/978-1-4939-2712-8","Book"
"Probability Theory","Universitext","","","","10.1007/978-1-4471-5201-9","Alexandr A. Borovkov","2013","http://link.springer.com/book/10.1007/978-1-4471-5201-9","Book"
"Elementary Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-6271-2","Kenneth A. Ross","2013","http://link.springer.com/book/10.1007/978-1-4614-6271-2","Book"
"Introductory Statistics with R","Statistics and Computing","","","","10.1007/978-0-387-79054-1","Peter Dalgaard","2008","http://link.springer.com/book/10.1007/978-0-387-79054-1","Book"
"Ordinary Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-3618-8","William A. AdkinsMark G. Davidson","2012","http://link.springer.com/book/10.1007/978-1-4614-3618-8","Book"
"Modeling Life","","","","","10.1007/978-3-319-59731-7","Alan GarfinkelJane ShevtsovYina Guo","2017","http://link.springer.com/book/10.1007/978-3-319-59731-7","Book"
"Differential Equations and Their Applications","Texts in Applied Mathematics","","","","10.1007/978-1-4612-4360-1","Martin Braun","1993","http://link.springer.com/book/10.1007/978-1-4612-4360-1","Book"
"Introduction to Smooth Manifolds","Graduate Texts in Mathematics","","","","10.1007/978-1-4419-9982-5","John M. Lee","2012","http://link.springer.com/book/10.1007/978-1-4419-9982-5","Book"
"Introductory Time Series with R","Use R","","","","10.1007/978-0-387-88698-5","Andrew V. MetcalfePaul S.P. Cowpertwait","2009","http://link.springer.com/book/10.1007/978-0-387-88698-5","Book"
"Linear Algebra Done Right","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-11080-6","Sheldon Axler","2015","http://link.springer.com/book/10.1007/978-3-319-11080-6","Book"
"Representation Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0979-9","William FultonJoe Harris","2004","http://link.springer.com/book/10.1007/978-1-4612-0979-9","Book"
"Multivariate Calculus and Geometry","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-6419-7","Seán Dineen","2014","http://link.springer.com/book/10.1007/978-1-4471-6419-7","Book"
"Reading, Writing, and Proving","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-9479-0","Ulrich DaeppPamela Gorkin","2011","http://link.springer.com/book/10.1007/978-1-4419-9479-0","Book"
"Time Series Analysis","Springer Texts in Statistics","","","","10.1007/978-0-387-75959-3","Jonathan D. CryerKung-Sik Chan","2008","http://link.springer.com/book/10.1007/978-0-387-75959-3","Book"
"Partial Differential Equations","Graduate Texts in Mathematics","","","","10.1007/978-1-4614-4809-9","Jürgen Jost","2013","http://link.springer.com/book/10.1007/978-1-4614-4809-9","Book"
"Proofs from THE BOOK","","","","","10.1007/978-3-662-57265-8","Prof. Dr. Martin AignerProf. Günter M. Ziegler","2018","http://link.springer.com/book/10.1007/978-3-662-57265-8","Book"
"Numerical Optimization","Springer Series in Operations Research and Financial Engineering","","","","10.1007/978-0-387-40065-5","Jorge NocedalStephen J. Wright","2006","http://link.springer.com/book/10.1007/978-0-387-40065-5","Book"
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-662-49887-3","Hans Petter Langtangen","2016","http://link.springer.com/book/10.1007/978-3-662-49887-3","Book"
"All of Statistics","Springer Texts in Statistics","","","","10.1007/978-0-387-21736-9","Larry Wasserman","2004","http://link.springer.com/book/10.1007/978-0-387-21736-9","Book"
"Calculus With Applications","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-7946-8","Peter D. LaxMaria Shea Terrell","2014","http://link.springer.com/book/10.1007/978-1-4614-7946-8","Book"
"Brownian Motion, Martingales, and Stochastic Calculus","Graduate Texts in Mathematics","","","","10.1007/978-3-319-31089-3","Jean-François Le Gall","2016","http://link.springer.com/book/10.1007/978-3-319-31089-3","Book"
"Quantum Theory for Mathematicians","Graduate Texts in Mathematics","","","","10.1007/978-1-4614-7116-5","Brian C. Hall","2013","http://link.springer.com/book/10.1007/978-1-4614-7116-5","Book"
"Applied Partial Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-12493-3","J. David Logan","2015","http://link.springer.com/book/10.1007/978-3-319-12493-3","Book"
"Classical Fourier Analysis","Graduate Texts in Mathematics","","","","10.1007/978-1-4939-1194-3","Loukas Grafakos","2014","http://link.springer.com/book/10.1007/978-1-4939-1194-3","Book"
"A Pythagorean Introduction to Number Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-3-030-02604-2","Ramin Takloo-Bighash","2018","http://link.springer.com/book/10.1007/978-3-030-02604-2","Book"
"Real Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4939-2766-1","Miklós LaczkovichVera T. Sós","2015","http://link.springer.com/book/10.1007/978-1-4939-2766-1","Book"
"Introduction to Partial Differential Equations","Universitext","","","","10.1007/978-3-319-48936-0","David Borthwick","2016","http://link.springer.com/book/10.1007/978-3-319-48936-0","Book"
"Applied Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-91041-3","Peter J. OlverChehrzad Shakiban","2018","http://link.springer.com/book/10.1007/978-3-319-91041-3","Book"
"Complex Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7288-0","Joseph BakDonald J. Newman","2010","http://link.springer.com/book/10.1007/978-1-4419-7288-0","Book"
"Linear Algebra","Springer Undergraduate Mathematics Series","","","","10.1007/978-3-319-24346-7","Jörg LiesenVolker Mehrmann","2015","http://link.springer.com/book/10.1007/978-3-319-24346-7","Book"
"Probability Theory","Universitext","","","","10.1007/978-1-4471-5361-0","Achim Klenke","2014","http://link.springer.com/book/10.1007/978-1-4471-5361-0","Book"
"Introduction to Partial Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-02099-0","Peter J. Olver","2014","http://link.springer.com/book/10.1007/978-3-319-02099-0","Book"
"Abstract Algebra","Springer Undergraduate Mathematics Series","","","","10.1007/978-3-319-77649-1","Prof. Gregory T. Lee","2018","http://link.springer.com/book/10.1007/978-3-319-77649-1","Book"
"Methods of Mathematical Modelling","Springer Undergraduate Mathematics Series","","","","10.1007/978-3-319-23042-9","Thomas WitelskiMark Bowen","2015","http://link.springer.com/book/10.1007/978-3-319-23042-9","Book"
