Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Understanding Statistics Using R","","","","","10.1007/978-1-4614-6227-9","Randall SchumackerSara Tomek","2013","http://link.springer.com/book/10.1007/978-1-4614-6227-9","Book"
"A Beginner’s Guide to R","Use R!","","","","10.1007/978-0-387-93837-0","Alain F. ZuurElena N. IenoErik H. W. G. Meesters","2009","http://link.springer.com/book/10.1007/978-0-387-93837-0","Book"
"Applied Predictive Modeling","","","","","10.1007/978-1-4614-6849-3","Max KuhnKjell Johnson","2013","http://link.springer.com/book/10.1007/978-1-4614-6849-3","Book"
"Applied Multivariate Statistical Analysis","","","","","10.1007/978-3-662-45171-7","Wolfgang Karl HärdleLéopold Simar","2015","http://link.springer.com/book/10.1007/978-3-662-45171-7","Book"
"Bayesian Essentials with R","Springer Texts in Statistics","","","","10.1007/978-1-4614-8687-9","Jean-Michel MarinChristian P. Robert","2014","http://link.springer.com/book/10.1007/978-1-4614-8687-9","Book"
"Bayesian and Frequentist Regression Methods","Springer Series in Statistics","","","","10.1007/978-1-4419-0925-1","Jon Wakefield","2013","http://link.springer.com/book/10.1007/978-1-4419-0925-1","Book"
"Survival Analysis","Statistics for Biology and Health","","","","10.1007/978-1-4419-6646-9","David G. KleinbaumMitchel Klein","2012","http://link.springer.com/book/10.1007/978-1-4419-6646-9","Book"
"Statistical Learning from a Regression Perspective","Springer Texts in Statistics","","","","10.1007/978-3-319-44048-4","Richard A. Berk","2016","http://link.springer.com/book/10.1007/978-3-319-44048-4","Book"
"An Introduction to Statistical Learning","Springer Texts in Statistics","","","","10.1007/978-1-4614-7138-7","Gareth JamesDaniela WittenTrevor HastieRobert Tibshirani","2013","http://link.springer.com/book/10.1007/978-1-4614-7138-7","Book"
"Statistical Analysis and Data Display","Springer Texts in Statistics","","","","10.1007/978-1-4939-2122-5","Richard M. HeibergerBurt Holland","2015","http://link.springer.com/book/10.1007/978-1-4939-2122-5","Book"
"Statistics and Data Analysis for Financial Engineering","Springer Texts in Statistics","","","","10.1007/978-1-4939-2614-5","David RuppertDavid S. Matteson","2015","http://link.springer.com/book/10.1007/978-1-4939-2614-5","Book"
"Introduction to Statistics and Data Analysis","","","","","10.1007/978-3-319-46162-5","Christian HeumannMichael SchomakerShalabh","2016","http://link.springer.com/book/10.1007/978-3-319-46162-5","Book"
"Applied Quantitative Finance","Statistics and Computing","","","","10.1007/978-3-662-54486-0","Prof. Dr. Wolfgang Karl HärdleProf. Cathy Yi-Hsuan ChenProf. Dr. Ludger Overbeck","2017","http://link.springer.com/book/10.1007/978-3-662-54486-0","Book"
"Introduction to Time Series and Forecasting","Springer Texts in Statistics","","","","10.1007/978-3-319-29854-2","Peter J. BrockwellRichard A. Davis","2016","http://link.springer.com/book/10.1007/978-3-319-29854-2","Book"
"Fundamentals of Clinical Trials","","","","","10.1007/978-3-319-18539-2","Lawrence M. FriedmanCurt D. FurbergDavid L. DeMetsDavid M. ReboussinChristopher B. Granger","2015","http://link.springer.com/book/10.1007/978-3-319-18539-2","Book"
"Design and Analysis of Experiments","Springer Texts in Statistics","","","","10.1007/978-3-319-52250-0","Angela DeanDaniel VossDanel Draguljić","2017","http://link.springer.com/book/10.1007/978-3-319-52250-0","Book"
"Regression Modeling Strategies","Springer Series in Statistics","","","","10.1007/978-3-319-19425-7","Frank E. Harrell , Jr.","2015","http://link.springer.com/book/10.1007/978-3-319-19425-7","Book"
